Date,Action,Symbol,Company,Reason,,,,,,,,,,
28-Aug-18,Added,ANET,Arista Networks,GGP acquired by Brookfield Property Partners.[81],,,,,,,,,,
28-Aug-18,Removed,GGP,GGP,GGP acquired by Brookfield Property Partners.[81],,,,,,,,,,
2-Jul-18,Added,CPRT,Copart,DPS acquired by Keurig Green Mountain.[82],,,,,,,,,,
2-Jul-18,Removed,DPS,Dr Pepper Snapple Group,DPS acquired by Keurig Green Mountain.[82],,,,,,,,,,
20-Jun-18,Added,FLT,FleetCor Technologies,AT&T acquired Time Warner.[83],,,,,,,,,,
20-Jun-18,Removed,TWX,Time Warner,AT&T acquired Time Warner.[83],,,,,,,,,,
18-Jun-18,Added,BR,Broadridge Financial Solutions,Market capitalization change.[84],,,,,,,,,,
18-Jun-18,Added,HFC,HollyFrontier,Market capitalization change.[84],,,,,,,,,,
18-Jun-18,Removed,RRC,Range Resources,Market capitalization change.[84],,,,,,,,,,
18-Jun-18,Removed,AYI,Acuity Brands,Market capitalization change.[84],,,,,,,,,,
7-Jun-18,Added,TWTR,Twitter,Bayer acquired Monsanto.[85],,,,,,,,,,
7-Jun-18,Removed,MON,Monsanto,Bayer acquired Monsanto.[85],,,,,,,,,,
5-Jun-18,Added,EVRG,Evergy,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.[86],,,,,,,,,,
5-Jun-18,Removed,NAVI,Navient,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.[86],,,,,,,,,,
31-May-18,Added,ABMD,Abiomed,Wyndham Worldwide spun off Wyndham Hotels & Resorts (NYSE:WH).[87],,,,,,,,,,
31-May-18,Removed,WYN,Wyndham Worldwide,Wyndham Worldwide spun off Wyndham Hotels & Resorts (NYSE:WH).[87],,,,,,,,,,
4-Apr-18,Added,MSCI,MSCI,S&P 500 constituent General Dynamics (NYSE: GD) acquired CSRA.[88],,,,,,,,,,
4-Apr-18,Removed,CSRA,CSRA,S&P 500 constituent General Dynamics (NYSE: GD) acquired CSRA.[88],,,,,,,,,,
19-Mar-18,Added,TTWO,Take-Two Interactive,Market capitalization change.[89],,,,,,,,,,
19-Mar-18,Added,SIVB,SVB Financial Group,Market capitalization change.[89],,,,,,,,,,
19-Mar-18,Added,NKTR,Nektar Therapeutics,Market capitalization change.[89],,,,,,,,,,
19-Mar-18,Removed,SIG,Signet Jewelers,Market capitalization change.[89],,,,,,,,,,
19-Mar-18,Removed,PDCO,Patterson Companies,Market capitalization change.[89],,,,,,,,,,
19-Mar-18,Removed,CHK,Chesapeake Energy,Market capitalization change.[89],,,,,,,,,,
7-Mar-18,Added,IPGP,IPG Photonics,Discovery Communications acquired SNI.[90],,,,,,,,,,
7-Mar-18,Removed,SNI,Scripps Networks Interactive,Discovery Communications acquired SNI.[90],,,,,,,,,,
3-Jan-18,Added,HII,Huntington Ingalls Industries,Becton Dickinson acquired BCR.[91],,,,,,,,,,
